uu245-79 86400 IN A 193.140.245.79
uu245-81 86400 IN A 193.140.245.81
uu245-82 86400 IN A 193.140.245.82
biko 86400 IN CNAME homepage
uu245-84 86400 IN A 193.140.245.84
uu245-85 86400 IN A 193.140.245.85
uu245-86 86400 IN A 193.140.245.86
uu245-87 86400 IN A 193.140.245.87
fened 86400 IN CNAME homepage
uu245-89 86400 IN A 193.140.245.89
uu245-91 86400 IN A 193.140.245.91
farabi 86400 IN CNAME homepage
ui 86400 IN CNAME homepage
ayniyat 86400 IN A 193.140.245.132
ns2 86400 IN A 194.27.112.201
uu245-96 86400 IN A 193.140.245.96
rational 86400 IN A 172.20.1.5
uu245-98 86400 IN A 193.140.245.98
uu245-99 86400 IN A 193.140.245.99
up 86400 IN CNAME homepage
kanmerkezi 86400 IN CNAME homepage
kardiyoloji 86400 IN CNAME homepage
yapiisleri 86400 IN A 193.140.245.211
plastik-rek-cerr 86400 IN CNAME homepage
geribildirim 86400 IN A 193.140.245.211
tekstil 86400 IN CNAME homepage
wm 86400 IN A 193.140.245.193
_vlmcs._tcp 86400 IN SRV 0 0 1688 lisans
engelsizbina 86400 IN CNAME homepage
gastro 86400 IN CNAME homepage
sertifika.tbmyo 86400 IN CNAME homepage
ggt 86400 IN CNAME homepage
uubim.bim 86400 IN CNAME ns1
udos-egitim 86400 IN A 172.20.1.53
uu245-230 86400 IN A 193.140.245.230
uu245-94 86400 IN A 193.140.245.94
gokbilim 86400 IN CNAME homepage
tipyayinkom 86400 IN CNAME homepage
yenidogan 86400 IN CNAME homepage
vcentersrv 86400 IN A 172.20.1.219
atam 86400 IN CNAME homepage
psikoloji 86400 IN CNAME homepage
btb 86400 IN CNAME homepage
lisans 86400 IN A 193.140.245.214
uu245-6 86400 IN A 193.140.245.6
gmt 86400 IN CNAME homepage
ydyo 86400 IN CNAME homepage
www2 86400 IN A 193.140.245.210
donemicistaj 86400 IN A 194.27.120.22
umaybis 86400 IN CNAME homepage
psikosanat 86400 IN CNAME homepage
iwmw 86400 IN CNAME homepage
uuvetpat 86400 IN CNAME homepage
bkft 86400 IN CNAME homepage
hukuk 86400 IN CNAME homepage
havakalitesi 86400 IN CNAME homepage
testmail 86400 IN CNAME mail
mevlana 86400 IN CNAME homepage
uu245-21 86400 IN A 193.140.245.21
tip 86400 IN CNAME homepage
agarwal2014 86400 IN CNAME homepage
iznikmyo 86400 IN CNAME homepage
immunolojiad 86400 IN CNAME homepage
home 86400 IN CNAME homepage
gsf 86400 IN CNAME homepage
en.saglikbilimleri 86400 IN A 193.140.245.9
gkd-cerr 86400 IN CNAME homepage
stb 86400 IN CNAME homepage
muhendisliktasarimi 86400 IN CNAME homepage
hukukmusavirligi 86400 IN CNAME homepage
ulinka 86400 IN CNAME homepage
saglikyo 86400 IN A 193.140.245.9
iec 86400 IN CNAME homepage
metsem 86400 IN CNAME homepage
mikrobiyolojilab 86400 IN CNAME homepage
pop3 86400 IN CNAME pop.gmail.com.
groups 86400 IN CNAME ghs.googlehosted.com.
uu245-234 86400 IN A 193.140.245.234
udk1989 86400 IN CNAME homepage
harmancik 86400 IN CNAME homepage
test4 86400 IN A 194.27.121.4
mbgenetik 86400 IN CNAME homepage
persweb 86400 IN CNAME homepage
biyos 86400 IN A 193.140.245.80
webmail 86400 IN A 193.140.245.193
uu245-210 86400 IN A 193.140.245.210
testmailw 86400 IN A 193.140.245.224
usdiyalog 86400 IN CNAME homepage
uu245-150 86400 IN A 193.140.245.150
enformatik 86400 IN CNAME homepage
ogrisl 86400 IN A 193.140.245.237
ameliyathane 86400 IN CNAME homepage
erasmustest 86400 IN A 172.20.1.53
aproy 86400 IN CNAME homepage
kariyergunleri 86400 IN CNAME homepage
pediatri 86400 IN CNAME homepage
kgir 86400 IN A 193.140.245.94
oioforum 86400 IN CNAME homepage
srivastava2012 86400 IN CNAME homepage
histoloji-embriyoloji 86400 IN CNAME homepage
sakurdok 86400 IN A 172.17.64.64
syslog-ng 86400 IN A 193.140.245.222
listserver 86400 IN A 172.20.1.5
turkce 86400 IN CNAME homepage
kukurtlu 86400 IN CNAME homepage
arama 86400 IN A 194.27.120.21
uu245-237 86400 IN A 193.140.245.237
hizmetstd 86400 IN CNAME homepage
vpn3 86400 IN A 194.27.118.38
dokumacilikesaslari 86400 IN CNAME homepage
tudam 86400 IN CNAME homepage
pednef 86400 IN CNAME homepage
buyukorhanmyo 86400 IN CNAME homepage
uu20.bim 86400 IN A 193.140.245.222
egitimbilimleri 86400 IN A 193.140.245.9
printer 86400 IN A 193.140.245.120
kbb 86400 IN CNAME homepage
bilgiedinme 86400 IN A 194.27.120.22
taekwondo 86400 IN CNAME homepage
email 86400 IN CNAME ghs.googlehosted.com.
sut 86400 IN CNAME homepage
yenisehirmyo 86400 IN CNAME homepage
ukey-test 86400 IN A 172.20.1.53
itt 86400 IN CNAME homepage
uu245-106 86400 IN A 193.140.245.106
mikrobiyoloji 86400 IN CNAME homepage
rbgsb 86400 IN A 193.140.245.9
uu245-107 86400 IN A 193.140.245.107
bursakaek 86400 IN CNAME homepage
phplist 86400 IN A 193.140.245.191
sensordmz 86400 IN A 193.140.245.129
uu245-110 86400 IN A 193.140.245.110
tmp 86400 IN CNAME homepage
halk-sagligi 86400 IN CNAME homepage
ic-hast 86400 IN CNAME homepage
uu245-111 86400 IN A 193.140.245.111
networkip 86400 IN A 194.27.120.22
guzelsanatlar 86400 IN CNAME homepage
kgk 86400 IN CNAME homepage
egtbil 86400 IN CNAME homepage
ysehirmyo 86400 IN CNAME homepage
uraft 86400 IN CNAME homepage
yenikaya 86400 IN CNAME homepage
halksempozyumu 86400 IN CNAME homepage
sakur 86400 IN CNAME homepage
tipper 86400 IN CNAME homepage
spoint 86400 IN A 193.140.245.77
uu245-117 86400 IN A 193.140.245.117
muziktpl 86400 IN CNAME homepage
vpn3emr 86400 IN A 194.27.115.56
f5yonetim1 86400 IN A 193.140.245.243
f5yonetim2 86400 IN A 193.140.245.244
uzmanlikegitimi 86400 IN A 193.140.245.229
ergonomikongresi 86400 IN CNAME homepage
felsefe 86400 IN CNAME homepage
coskun 86400 IN A 193.140.245.9
ilcine.sites 86400 IN CNAME ghs.googlehosted.com.
mernis 86400 IN A 194.27.120.21
ceko 86400 IN CNAME homepage
ozelyetenek 86400 IN A 194.27.120.21
yem-net 86400 IN CNAME homepage
microwave 86400 IN CNAME homepage
utfam 86400 IN CNAME homepage
usigem 86400 IN A 193.140.245.9
prsservis 86400 IN A 193.140.245.23
utmt 86400 IN CNAME homepage
perara 86400 IN A 194.27.120.21
utog 86400 IN CNAME homepage
testmyo 86400 IN A 193.140.245.23
medicalcenter 86400 IN CNAME homepage
turklikentoplulugu 86400 IN CNAME homepage
fizikklb 86400 IN CNAME homepage
sanat 86400 IN CNAME homepage
ciftdiploma 86400 IN CNAME homepage
uu245-130 86400 IN A 193.140.245.130
ulucam 86400 IN CNAME homepage
uugs 86400 IN CNAME homepage
uu245-100 86400 IN A 193.140.245.100
uu245-101 86400 IN A 193.140.245.101
uu245-102 86400 IN A 193.140.245.102
