@ 86400 IN SOA fhudns postmaster 2015040601 10800 3600 604800 86400
@ 86400 IN MX 10 fhumail-bar
@ 86400 IN NS fhudns
pc2617 86400 IN A 202.249.232.15
pc2618 86400 IN A 202.249.232.16
pc5435.ircad3 86400 IN A 202.249.234.165
pc12201 86400 IN A 202.249.233.178
pc5348.ircad3 86400 IN A 202.249.234.48
pc5101.ircad2 86400 IN A 202.249.232.131
pc5433.ircad3 86400 IN A 202.249.234.163
pc53sv6.ircad3 86400 IN A 202.249.234.70
localhost 86400 IN A 127.0.0.1
pc5346.ircad3 86400 IN A 202.249.234.46
tr7103-1 86400 IN A 202.249.233.98
tr7103-2 86400 IN A 202.249.233.99
pc5431.ircad3 86400 IN A 202.249.234.161
www2 86400 IN CNAME www
pr5102.ircad2 86400 IN A 202.249.232.222
pc5344.ircad3 86400 IN A 202.249.234.44
pc5209.ircad2 86400 IN A 202.249.232.159
pc5428.ircad3 86400 IN A 202.249.234.158
fhlsv2 86400 IN A 202.249.234.243
fhunas01 86400 IN A 202.249.232.244
fhunas02 86400 IN A 202.249.232.245
fhunas03 86400 IN A 202.249.232.246
pc53sv2.ircad3 86400 IN A 202.249.234.57
wlan1101 86400 IN A 202.249.232.76
pr5208.ircad2 86400 IN A 202.249.232.215
pc5342.ircad3 86400 IN A 202.249.234.42
pc13316 86400 IN A 202.249.233.214
pc5255.ircad2 86400 IN A 202.249.232.205
pc5426.ircad3 86400 IN A 202.249.234.156
pr5206.ircad2 86400 IN A 202.249.232.213
pc5340.ircad3 86400 IN A 202.249.234.40
pc5253.ircad2 86400 IN A 202.249.232.203
pc5424.ircad3 86400 IN A 202.249.234.154
pc5234.ircad2 86400 IN A 202.249.232.184
nsact 86400 IN A 202.249.233.27
pr5204.ircad2 86400 IN A 202.249.232.211
pc5337.ircad3 86400 IN A 202.249.234.37
pc12402 86400 IN A 202.249.233.165
pc5251.ircad2 86400 IN A 202.249.232.201
pc12407 86400 IN A 202.249.233.170
pc12408 86400 IN A 202.249.233.171
pc12410 86400 IN A 202.249.233.173
pc12411 86400 IN A 202.249.233.175
pc5422.ircad3 86400 IN A 202.249.234.152
_ldap._tcp.dc._msdcs.ircad2 86400 IN SRV 0 0 389 pc52sv5.ircad2
86400 IN SRV 0 0 389 pc53sv5.ircad2
_ldap._tcp.dc._msdcs.ircad3 86400 IN SRV 0 0 389 pc54sv3.ircad3
pc5320.ircad3 86400 IN A 202.249.234.20
pr5202.ircad2 86400 IN A 202.249.232.209
pc5335.ircad3 86400 IN A 202.249.234.35
pc13210 86400 IN A 202.249.233.206
pc5248.ircad2 86400 IN A 202.249.232.198
gwmiyuki 86400 IN A 202.249.233.254
kfsv 86400 IN A 202.249.232.89
pc5420.ircad3 86400 IN A 202.249.234.150
pc13213 86400 IN A 202.249.233.209
fhlvax 86400 IN A 202.249.234.246
pc5333.ircad3 86400 IN A 202.249.234.33
pc5j01 86400 IN A 202.249.232.111
pc5j02 86400 IN A 202.249.232.112
pc5j03 86400 IN A 202.249.232.113
pc5j04 86400 IN A 202.249.232.114
pc5j05 86400 IN A 202.249.232.105
pc5j06 86400 IN A 202.249.232.106
pc5246.ircad2 86400 IN A 202.249.232.196
pc5417.ircad3 86400 IN A 202.249.234.147
irc 86400 IN A 202.249.233.10
irc 86400 IN MX 10 pc52sv6.irc
sw07f1 86400 IN A 202.249.233.242
pc12501 86400 IN A 202.249.233.141
pc12502 86400 IN A 202.249.233.142
pc12503 86400 IN A 202.249.233.143
pc12504 86400 IN A 202.249.233.144
pc12505 86400 IN A 202.249.233.145
pc12506 86400 IN A 202.249.233.146
pc12507 86400 IN A 202.249.233.147
pc12508 86400 IN A 202.249.233.148
pc12509 86400 IN A 202.249.233.149
pc12511 86400 IN A 202.249.233.151
pc12513 86400 IN A 202.249.233.153
pc12514 86400 IN A 202.249.233.154
pc12515 86400 IN A 202.249.233.155
pc12516 86400 IN A 202.249.233.156
dat02 86400 IN A 202.249.232.78
pc12518 86400 IN A 202.249.233.158
pc12519 86400 IN A 202.249.233.159
pc12521 86400 IN A 202.249.233.161
pc12522 86400 IN A 202.249.233.162
pc12523 86400 IN A 202.249.233.163
pc5430.ircad3 86400 IN A 202.249.234.160
pc5328.ircad3 86400 IN A 202.249.234.28
pc2309 86400 IN A 202.249.232.57
pc24022.irc 86400 IN A 202.249.232.74
pc5242.ircad2 86400 IN A 202.249.232.192
pc3101 86400 IN A 202.249.233.65
pc3102 86400 IN A 202.249.233.66
pc2312 86400 IN A 202.249.232.59
vpnsv1 86400 IN A 202.249.232.238
pc5413.ircad3 86400 IN A 202.249.234.143
pc5326.ircad3 86400 IN A 202.249.234.26
pc5240.ircad2 86400 IN A 202.249.232.190
pc5411.ircad3 86400 IN A 202.249.234.141
pc5232.ircad2 86400 IN A 202.249.232.182
pr5j01 86400 IN A 202.249.232.93
pc2320 86400 IN A 202.249.232.67
kka 86400 IN A 202.249.232.90
_kerberos._tcp.dc._msdcs.ircad2 86400 IN SRV 0 0 88 pc52sv5.ircad2
86400 IN SRV 0 0 88 pc53sv5.ircad2
_kerberos._tcp.dc._msdcs.ircad3 86400 IN SRV 0 0 88 pc54sv3.ircad3
pc5237.ircad2 86400 IN A 202.249.232.187
pc5408.ircad3 86400 IN A 202.249.234.138
lec 86400 IN A 202.249.232.237
pc5322.ircad3 86400 IN A 202.249.234.22
pc5235.ircad2 86400 IN A 202.249.232.185
pc5406.ircad3 86400 IN A 202.249.234.136
pr2501 86400 IN A 202.249.232.91
pc5319.ircad3 86400 IN A 202.249.234.19
tr4104 86400 IN A 202.249.233.90
pc5233.ircad2 86400 IN A 202.249.232.183
tr4202 86400 IN A 202.249.233.93
pc5404.ircad3 86400 IN A 202.249.234.134
pc54sv2.ircad3 86400 IN A 202.249.234.192
pc5317.ircad3 86400 IN A 202.249.234.17
pc5231.ircad2 86400 IN A 202.249.232.181
tr4203 86400 IN A 202.249.233.94
tr4101 86400 IN A 202.249.233.87
pc5402.ircad3 86400 IN A 202.249.234.132
tr4103 86400 IN A 202.249.233.89
fhumail 86400 IN CNAME fhudns
pc5315.ircad3 86400 IN A 202.249.234.15
childfsv 86400 IN A 202.249.232.75
pc5228.ircad2 86400 IN A 202.249.232.178
pc51sv1.ircad2 86400 IN A 202.249.232.219
sw11f1 86400 IN A 202.249.233.243
pc5313.ircad3 86400 IN A 202.249.234.13
pc5226.ircad2 86400 IN A 202.249.232.176
fhusv3 86400 IN A 202.249.233.8
pc5230.ircad2 86400 IN A 202.249.232.180
pc5311.ircad3 86400 IN A 202.249.234.11
pc5224.ircad2 86400 IN A 202.249.232.174
fhlpc01 86400 IN A 202.249.234.223
fhlpc02 86400 IN A 202.249.234.224
fhlpc03 86400 IN A 202.249.234.225
cdsv1 86400 IN A 202.249.234.241
fhlpc05 86400 IN A 202.249.234.234
ldap1.irc 86400 IN A 202.249.234.123
pc5308.ircad3 86400 IN A 202.249.234.8
pc5222.ircad2 86400 IN A 202.249.232.172
ar09eth0 86400 IN A 202.249.234.254
ar09eth1 86400 IN A 202.249.233.124
sw12f1 86400 IN A 202.249.233.244
pc9101 86400 IN A 202.249.234.211
pc93002.irc 86400 IN A 202.249.234.233
pc9103 86400 IN A 202.249.234.213
pc9104 86400 IN A 202.249.234.214
pc9105 86400 IN A 202.249.234.215
pc9106 86400 IN A 202.249.234.216
pc9107 86400 IN A 202.249.234.217
pc5306.ircad3 86400 IN A 202.249.234.6
pct01 86400 IN A 202.249.233.22
pct02 86400 IN A 202.249.233.23
pc5219.ircad2 86400 IN A 202.249.232.169
pc5304.ircad3 86400 IN A 202.249.234.4
pc5339.ircad3 86400 IN A 202.249.234.39
fhlgate 86400 IN A 202.249.234.230
pc5217.ircad2 86400 IN A 202.249.232.167
pc5302.ircad3 86400 IN A 202.249.234.2
pc5215.ircad2 86400 IN A 202.249.232.165
sw13f2 86400 IN A 202.249.233.246
sw13f3 86400 IN A 202.249.233.247
tr3201 86400 IN A 202.249.233.84
pc13106 86400 IN A 202.249.233.201
tr3202 86400 IN A 202.249.233.85
tr3203 86400 IN A 202.249.233.86
pc51st1 86400 IN A 202.249.232.248
