@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
test-e-assoc 86400 IN CNAME testbed
ictpgrid-se-1 86400 IN A 140.105.32.200
hp83-dir-1 86400 IN A 140.105.38.175
hp83-dir-2 86400 IN A 140.105.25.132
hp83-dir-3 86400 IN A 140.105.25.251
hp83-dir-4 86400 IN A 140.105.25.250
hp83-dir-5 86400 IN A 140.105.25.243
hp83-dir-6 86400 IN A 140.105.25.131
hp83-dir-7 86400 IN A 140.105.35.101
nb9-19-20 86400 IN A 140.105.19.20
hp6-mastroli 86400 IN A 140.105.38.42
mac-scardicchio 86400 IN A 140.105.27.141
ejds 86400 IN CNAME ejournals
mac-020 86400 IN A 140.105.39.56
videoconf-3 86400 IN A 140.105.47.19
hp6-clima-1 86400 IN A 140.105.29.185
hp6-clima-2 86400 IN A 140.105.29.186
hp6-clima-3 86400 IN A 140.105.29.187
hp6-clima-4 86400 IN A 140.105.29.199
hp83-ekl-20 86400 IN A 140.105.24.220
hp6-clima-6 86400 IN A 140.105.29.234
vpnlib1-enricof 86400 IN A 140.105.40.136
hp6-clima-7 86400 IN A 140.105.29.201
hp6-simoes 86400 IN A 140.105.38.21
hp6-clima-8 86400 IN A 140.105.29.202
nb9-19-13 86400 IN A 140.105.19.13
hp6-clima-9 86400 IN A 140.105.29.130
nb9-19-15 86400 IN A 140.105.19.15
nb-toshiba 86400 IN A 140.105.35.52
nb9-19-16 86400 IN A 140.105.19.16
pc-efb218-1 86400 IN A 140.105.39.35
hp6-giamb 86400 IN A 140.105.30.244
vpnmarco 86400 IN A 140.105.26.14
presusy2013 86400 IN CNAME susy2013
mac-poropat 86400 IN A 140.105.35.28
vpn-onime 86400 IN A 140.105.44.20
nb-narain 86400 IN A 140.105.29.7
nb-tuniz2 86400 IN A 140.105.38.179
mac-gaspardis 86400 IN A 140.105.17.125
nb9-19-30 86400 IN A 140.105.19.30
pcl-ictplab-02 86400 IN A 140.105.39.61
enterprise1 86400 IN CNAME webmail
vpn-usi92 86400 IN A 140.105.39.70
nb9-19-33 86400 IN A 140.105.19.33
africa 86400 IN CNAME webmail
google61f45d03591b9e35 86400 IN CNAME google.com.
nb-hassan 86400 IN A 140.105.38.74
fwsm-adsl 86400 IN A 80.20.205.106
mac-gava 86400 IN A 140.105.29.20
nb9-19-40 86400 IN A 140.105.19.40
hpc-test 86400 IN A 140.105.32.206
mac-venuti 86400 IN A 140.105.22.12
mac-nattelli 86400 IN A 140.105.35.59
arpl-webcast 86400 IN A 140.105.28.20
oldimap 86400 IN A 140.105.16.54
assoc 86400 IN CNAME webmail
mac-sissa-audit 86400 IN A 140.105.30.224
mac-icts-002 86400 IN A 140.105.39.81
hp83-maint-3 86400 IN A 140.105.35.119
nb9-19-50 86400 IN A 140.105.19.50
oldwebapp-3 86400 IN A 140.105.16.232
mac-baldini 86400 IN A 140.105.17.124
mac-061 86400 IN A 140.105.39.55
nb9-19-55 86400 IN A 140.105.19.55
nb9-19-56 86400 IN A 140.105.19.56
nb9-19-57 86400 IN A 140.105.19.57
nb9-19-58 86400 IN A 140.105.19.58
nb9-19-60 86400 IN A 140.105.19.60
mac-108 86400 IN A 140.105.35.95
vpn-markusm 86400 IN A 140.105.27.9
mac-sainr 86400 IN A 140.105.35.36
nb9-19-63 86400 IN A 140.105.19.63
hp6-arpl-10 86400 IN A 140.105.26.190
hp6-arpl-11 86400 IN A 140.105.26.191
hp6-arpl-12 86400 IN A 140.105.26.192
hp6-arpl-13 86400 IN A 140.105.26.193
nb9-19-65 86400 IN A 140.105.19.65
nb9-19-66 86400 IN A 140.105.19.66
nb9-19-67 86400 IN A 140.105.19.67
vpnlib3 86400 IN A 140.105.40.138
vpnlib4 86400 IN A 140.105.40.139
vpnlib5 86400 IN A 140.105.40.140
vpnlib6 86400 IN A 140.105.40.141
vpnlib7 86400 IN A 140.105.40.142
nb9-19-68 86400 IN A 140.105.19.68
nb9-19-69 86400 IN A 140.105.19.69
hp6-step-1 86400 IN A 140.105.27.93
hp6-step-2 86400 IN A 140.105.27.94
hp6-step-3 86400 IN A 140.105.27.95
hp6-step-4 86400 IN A 140.105.27.250
pb-visintin 86400 IN A 140.105.39.41
nb9-19-72 86400 IN A 140.105.19.72
pb-villegas 86400 IN A 140.105.30.11
hp83-cm-20 86400 IN A 140.105.27.231
nb9-19-74 86400 IN A 140.105.19.74
vpnclement 86400 IN A 140.105.26.10
nb9-19-75 86400 IN A 140.105.19.75
qweci 86400 IN CNAME webmail
nb9-19-76 86400 IN A 140.105.19.76
www-photoarchive 86400 IN CNAME mac-server-photo
mac-vascotto 86400 IN A 140.105.37.5
nb9-19-77 86400 IN A 140.105.19.77
arpl-imac 86400 IN A 140.105.26.229
nb9-19-78 86400 IN A 140.105.19.78
wireless 86400 IN A 140.105.28.115
nb9-19-80 86400 IN A 140.105.19.80
mac-server-photo 86400 IN A 140.105.37.113
afsdb1 86400 IN A 140.105.34.7
afsdb2 86400 IN A 140.105.34.8
afsdb3 86400 IN A 140.105.34.205
mac-foco 86400 IN A 140.105.35.14
new-zope-manage 86400 IN CNAME webmail
old-zope-manage 86400 IN CNAME webmail
oea 86400 IN CNAME webmail
hp8g1-onime 86400 IN A 140.105.26.54
pb-le-private 86400 IN A 140.105.30.8
energynet 86400 IN CNAME webmail
mac-delrio 86400 IN A 140.105.35.40
hp6-dip-19 86400 IN A 140.105.39.149
hp83-cm-1 86400 IN A 140.105.27.209
hp83-cm-2 86400 IN A 140.105.27.240
hp83-cm-3 86400 IN A 140.105.27.244
