soarch 900 IN CNAME kentico-p
teachme 900 IN CNAME mine
studenthousing 900 IN CNAME kentico-p
netball 900 IN CNAME kentico-p
vtest 900 IN A 196.21.193.63
wela 900 IN CNAME kentico-p
mts 900 IN A 192.96.15.190
scorpion 900 IN A 196.21.193.15
veritas 900 IN CNAME kentico-p
autodiscover.live 900 IN CNAME autodiscover.outlook.com.
spotter 900 IN A 196.21.192.14
sere 900 IN CNAME kentico-p
studentbiz 900 IN CNAME www1
ocs 900 IN CNAME openacad
site 900 IN CNAME kentico-p
peertraining 900 IN CNAME kentico-p
saaslin 900 IN CNAME george
mbeki-maths-dev 900 IN CNAME kentico-p
kentico-p 900 IN A 192.96.15.83
artslibrarian 900 IN CNAME kentico-p
sahara 900 IN CNAME openacad
mercantilelaw 900 IN CNAME kentico-p
music 900 IN CNAME kentico-p
mahara 900 IN A 192.96.15.49
applang 900 IN CNAME kentico-p
googleffffffffeff42503.g 900 IN CNAME GOOGLE.com.
mobile 900 IN CNAME kentico-p
voip 900 IN A 196.21.193.74
nmmucies 900 IN CNAME kentico-p
publiclaw 900 IN CNAME kentico-p
ojs 900 IN CNAME openacad
www.eskomexpope 900 IN CNAME kentico-p
oma 900 IN A 192.96.15.41
sp2013-lb 900 IN A 196.21.192.50
energy 900 IN CNAME kentico-p
georgecampus 900 IN CNAME kentico-p
lock 900 IN A 196.21.193.35
snake 900 IN A 196.21.198.106
secure-survey 900 IN A 192.96.15.59
mtrc 900 IN CNAME www1
ocho 900 IN CNAME kentico-p
medsci 900 IN CNAME kentico-p
sportsclubadmin 900 IN CNAME extweb
uwsport 900 IN CNAME kentico-p
limesurvey 900 IN CNAME lime-external
pit 900 IN A 196.21.193.4
AMFSA2014 900 IN CNAME kentico-p
vacaccomm 900 IN CNAME kentico-p
pharmacy 900 IN CNAME kentico-p
eskomtest 900 IN A 192.96.15.81
nmmuvid 900 IN CNAME nmmuv
athletics 900 IN CNAME kentico-p
ebeit 900 IN CNAME kentico-p
studentaffairs 900 IN CNAME kentico-p
saturn 900 IN A 192.96.15.108
900 IN A 192.96.15.109
900 IN A 192.96.15.110
dmz2450 900 IN A 196.21.198.250
mossweb1 900 IN A 196.21.192.51
mossweb2 900 IN A 196.21.192.52
incoko 900 IN A 196.21.192.178
ebeitlibrarian 900 IN CNAME kentico-p
logman 900 IN CNAME kentico-p
drawing 900 IN CNAME kentico-p
movementecology 900 IN CNAME kentico-p
pop 900 IN CNAME email
pos 900 IN CNAME kentico-p
wc2010 900 IN CNAME tardis
physics 900 IN CNAME kentico-p
tims 900 IN A 192.96.15.241
studmail 900 IN CNAME rproxy
mootoo 900 IN A 192.96.15.238
rcd 900 IN CNAME kentico-p
rce 900 IN CNAME kentico-p
globalchange2014 900 IN CNAME kentico-p
soccer 900 IN CNAME kentico-p
ioste 900 IN CNAME rproxy
testfw 900 IN AAAA 2001:4200:2000:8000::2
