@ 7200 IN SOA ns1 sysadmin 2015042900 3600 1800 604800 7200
@ 7200 IN NS ns1
7200 IN NS ns2
7200 IN NS ns3
7200 IN NS dns-ext1.dartmouth.edu.
@ 7200 IN TXT "MS=5E354484999182623AA1D571BBB9AA1365849A89"
@ 7200 IN MX 1 ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
7200 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
7200 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
aug-student-141-224-197-109 7200 IN A 141.224.197.109
aug-facstaff-141-224-223-63 7200 IN A 141.224.223.63
aug-student-141-224-204-141 7200 IN A 141.224.204.141
aug-student-141-224-192-152 7200 IN A 141.224.192.152
aug-student-141-224-197-112 7200 IN A 141.224.197.112
urness-141-224-232-168 7200 IN A 141.224.232.168
aug-student-141-224-197-113 7200 IN A 141.224.197.113
oren-141-224-243-83 7200 IN A 141.224.243.83
urness-141-224-232-169 7200 IN A 141.224.232.169
aug-student-141-224-197-114 7200 IN A 141.224.197.114
aug-student-141-224-192-156 7200 IN A 141.224.192.156
mortensen-141-224-237-205 7200 IN A 141.224.237.205
aug-student-141-224-197-116 7200 IN A 141.224.197.116
aug-guest-141-224-219-249 7200 IN A 141.224.219.249
aug-student-141-224-197-117 7200 IN A 141.224.197.117
aug-student-141-224-192-159 7200 IN A 141.224.192.159
aug-student-141-224-197-120 7200 IN A 141.224.197.120
urness-141-224-232-176 7200 IN A 141.224.232.176
aug-student-141-224-192-162 7200 IN A 141.224.192.162
aug-student-141-224-197-122 7200 IN A 141.224.197.122
aug-student-141-224-197-123 7200 IN A 141.224.197.123
oren-141-224-243-178 7200 IN A 141.224.243.178
urness-141-224-232-180 7200 IN A 141.224.232.180
aug-student-141-224-192-165 7200 IN A 141.224.192.165
aug-student-141-224-205-230 7200 IN A 141.224.205.230
aug-student-141-224-206-110 7200 IN A 141.224.206.110
aug-student-141-224-197-125 7200 IN A 141.224.197.125
aug-student-141-224-197-126 7200 IN A 141.224.197.126
urness-141-224-232-183 7200 IN A 141.224.232.183
aug-student-141-224-197-127 7200 IN A 141.224.197.127
aug-student-141-224-192-170 7200 IN A 141.224.192.170
aug-student-141-224-197-129 7200 IN A 141.224.197.129
aug-student-141-224-197-131 7200 IN A 141.224.197.131
oren-141-224-240-34 7200 IN A 141.224.240.34
aug-student-141-224-197-132 7200 IN A 141.224.197.132
aug-student-141-224-197-133 7200 IN A 141.224.197.133
urness-141-224-232-189 7200 IN A 141.224.232.189
aug-student-141-224-197-134 7200 IN A 141.224.197.134
urness-141-224-232-201 7200 IN A 141.224.232.201
aug-student-141-224-197-135 7200 IN A 141.224.197.135
urness-141-224-232-202 7200 IN A 141.224.232.202
urness-141-224-233-11 7200 IN A 141.224.233.11
aug-student-141-224-197-136 7200 IN A 141.224.197.136
urness-141-224-233-13 7200 IN A 141.224.233.13
urness-141-224-233-14 7200 IN A 141.224.233.14
urness-141-224-233-15 7200 IN A 141.224.233.15
urness-141-224-232-203 7200 IN A 141.224.232.203
urness-141-224-233-17 7200 IN A 141.224.233.17
aug-student-141-224-197-137 7200 IN A 141.224.197.137
urness-141-224-233-19 7200 IN A 141.224.233.19
urness-141-224-233-21 7200 IN A 141.224.233.21
urness-141-224-233-22 7200 IN A 141.224.233.22
urness-141-224-232-204 7200 IN A 141.224.232.204
urness-141-224-233-24 7200 IN A 141.224.233.24
aug-student-141-224-192-180 7200 IN A 141.224.192.180
urness-141-224-233-26 7200 IN A 141.224.233.26
urness-141-224-233-27 7200 IN A 141.224.233.27
urness-141-224-233-28 7200 IN A 141.224.233.28
urness-141-224-232-205 7200 IN A 141.224.232.205
urness-141-224-233-31 7200 IN A 141.224.233.31
aug-student-141-224-192-181 7200 IN A 141.224.192.181
urness-141-224-233-33 7200 IN A 141.224.233.33
urness-141-224-233-34 7200 IN A 141.224.233.34
urness-141-224-233-35 7200 IN A 141.224.233.35
urness-141-224-232-196 7200 IN A 141.224.232.196
urness-141-224-233-37 7200 IN A 141.224.233.37
aug-student-141-224-197-141 7200 IN A 141.224.197.141
