www.ms 86400 IN AAAA 2001:250:2800:2::28
celebrate 86400 IN A 202.203.208.113
www.yncc 86400 IN A 202.203.208.28
www.yncc 86400 IN AAAA 2001:250:2800:2::28
mysql.db 86400 IN A 202.203.209.233
ms.db 86400 IN A 202.203.209.227
www.ny 86400 IN CNAME bbs
www.zhhb 86400 IN A 202.203.208.28
www.zhhb 86400 IN AAAA 2001:250:2800:2::28
www.pm 86400 IN A 202.203.32.169
www.srees 86400 IN A 202.203.208.28
www.srees 86400 IN AAAA 2001:250:2800:2::28
test 86400 IN A 202.203.209.28
2007.ghsurvey 86400 IN CNAME ynu101
web38 86400 IN A 202.203.208.38
www.hpcc 86400 IN A 202.203.208.28
www.hpcc 86400 IN AAAA 2001:250:2800:2::28
www.mentalhec 86400 IN CNAME ynu101
www.ynjd 86400 IN CNAME ynu66
www.archives 86400 IN A 202.203.208.28
www.archives 86400 IN AAAA 2001:250:2800:2::28
bb 86400 IN A 202.203.208.25
www.network 86400 IN A 202.203.208.28
www.network 86400 IN AAAA 2001:250:2800:2::28
www.211 86400 IN A 202.203.208.28
www.211 86400 IN AAAA 2001:250:2800:2::28
www.ydyouth 86400 IN A 113.55.0.221
www.yj 86400 IN CNAME ynu66
2009.jxcg 86400 IN A 202.203.208.28
2009.jxcg 86400 IN AAAA 2001:250:2800:2::28
www.zl 86400 IN CNAME www.ydyouth
www.ydxsc 86400 IN A 202.203.208.28
www.ydxsc 86400 IN AAAA 2001:250:2800:2::28
www.xcb 86400 IN A 202.203.208.28
www.xcb 86400 IN AAAA 2001:250:2800:2::28
exp.science 86400 IN A 202.203.208.28
exp.science 86400 IN AAAA 2001:250:2800:2::28
www.whcy 86400 IN A 202.203.208.28
www.whcy 86400 IN AAAA 2001:250:2800:2::28
cg.apps 86400 IN A 202.203.208.28
cg.apps 86400 IN AAAA 2001:250:2800:2::28
music 86400 IN CNAME ynu101
www.train 86400 IN A 202.203.208.163
www.gzbx 86400 IN A 202.203.33.80
www.gzbx 86400 IN AAAA 2001:250:2800:15::80
klse 86400 IN A 202.203.208.121
www.science 86400 IN A 202.203.208.28
www.science 86400 IN AAAA 2001:250:2800:2::28
www.jclab 86400 IN A 202.203.208.28
www.jclab 86400 IN AAAA 2001:250:2800:2::28
vdc 86400 IN A 202.203.209.6
bz.apps 86400 IN A 202.203.208.28
bz.apps 86400 IN AAAA 2001:250:2800:2::28
www.sucm 86400 IN A 202.203.208.28
www.sucm 86400 IN AAAA 2001:250:2800:2::28
www.hqjt 86400 IN A 202.203.208.28
www.hqjt 86400 IN AAAA 2001:250:2800:2::28
www.jxms 86400 IN CNAME ynu8
www.ygb 86400 IN A 202.203.208.28
www.ygb 86400 IN AAAA 2001:250:2800:2::28
ynu101 86400 IN A 202.203.208.101
ynu102 86400 IN A 202.203.208.102
www.lawlab 86400 IN A 202.203.208.28
www.lawlab 86400 IN AAAA 2001:250:2800:2::28
ynu104 86400 IN A 202.203.208.104
ynu106 86400 IN A 202.203.208.106
www.yig 86400 IN A 202.203.208.28
www.yig 86400 IN AAAA 2001:250:2800:2::28
www.yhs 86400 IN A 202.203.208.28
www.yhs 86400 IN AAAA 2001:250:2800:2::28
ynu115 86400 IN A 202.203.208.115
ynu116 86400 IN A 202.203.208.116
ynu117 86400 IN A 202.203.208.117
ynu118 86400 IN A 202.203.208.118
ynu119 86400 IN A 202.203.208.119
ynu4 86400 IN A 202.203.208.4
ynu5 86400 IN A 202.203.208.5
ynu6 86400 IN A 202.203.208.6
ynu7 86400 IN A 202.203.208.7
ynu125 86400 IN A 202.203.208.125
ynu126 86400 IN A 202.203.208.126
ynu90 86400 IN A 202.203.208.90
www.esoe 86400 IN CNAME ynu66
www.ymf 86400 IN A 202.203.208.84
yydsx.col 86400 IN A 202.203.208.28
yydsx.col 86400 IN AAAA 2001:250:2800:2::28
www.grsu 86400 IN A 202.203.208.28
www.grsu 86400 IN AAAA 2001:250:2800:2::28
www.cs.sise 86400 IN A 202.203.40.132
www.tzb 86400 IN A 202.203.208.28
www.tzb 86400 IN AAAA 2001:250:2800:2::28
www.aec 86400 IN CNAME web37
ynu24 86400 IN A 202.203.208.24
xxjs.col 86400 IN A 202.203.208.28
xxjs.col 86400 IN AAAA 2001:250:2800:2::28
