@ 8800 IN SOA ns01.minatec.inpg.fr. postmaster.minatec.inpg.fr. 2013121601 21600 3600 864000 8800
@ 8800 IN MX 5 smtp131.minatec.grenoble-inp.fr.
8800 IN MX 5 smtp132.minatec.grenoble-inp.fr.
jaguar 8800 IN A 192.93.178.172
crocus 8800 IN A 192.93.178.180
aphrodite 8800 IN A 192.93.179.240
lpgestion 8800 IN A 192.93.175.81
couguar 8800 IN A 192.93.178.54
segdmc250 8800 IN A 192.93.175.250
segdmc251 8800 IN A 192.93.175.251
segdmc252 8800 IN A 192.93.175.252
segdmc253 8800 IN A 192.93.175.253
dhcp179a 8800 IN A 192.93.179.215
dhcp179b 8800 IN A 192.93.179.216
dhcp179c 8800 IN A 192.93.179.217
dhcp179d 8800 IN A 192.93.179.218
dhcp179e 8800 IN A 192.93.179.219
tp1apc5 8800 IN A 192.93.179.102
tp1apc6 8800 IN A 192.93.179.103
tp1apc7 8800 IN A 192.93.179.104
tp1apc8 8800 IN A 192.93.179.105
tp1apc9 8800 IN A 192.93.179.106
www 8800 IN A 130.190.227.184
cerise9 8800 IN A 192.93.179.231
terminal1 8800 IN A 192.93.177.76
cosmos 8800 IN A 192.93.178.126
lpnord 8800 IN A 192.93.177.40
segcpc150 8800 IN A 192.93.175.150
eudoxe 8800 IN A 192.93.177.69
lps 8800 IN CNAME l4m
extraerg 8800 IN CNAME www01.minatec.inpg.fr.
lp3tp2a 8800 IN A 192.93.179.83
les715 8800 IN A 192.93.179.15
panoramix 8800 IN A 192.93.179.87
tigre 8800 IN A 192.93.178.146
anaximandre 8800 IN A 192.93.177.108
lpcom1 8800 IN A 192.93.178.176
nietzsche 8800 IN A 192.93.179.71
dhcp17849 8800 IN A 192.93.178.49
smtp 8800 IN CNAME v-smtp.minatec.grenoble-inp.fr.
plasma-nord 8800 IN A 192.93.178.36
lpcompta 8800 IN A 192.93.178.134
lpcomm 8800 IN A 192.93.178.181
dhcp17897 8800 IN A 192.93.178.97
dhcp17898 8800 IN A 192.93.178.98
dhcp17899 8800 IN A 192.93.178.99
